cds,stype,name,sname,snum,dname,dnum,cname,cnum,flag,pcttest,api00,api99,target,growth,sch.wide,comp.imp,both,awards,meals,ell,yr.rnd,mobility,acs.k3,acs.46,acs.core,pct.resp,not.hsg,hsg,some.col,col.grad,grad.sch,avg.ed,full,emer,enroll,api.stu
19645191937481,H,Rosemead High,Rosemead High,1333,El Monte Union High,204,Los Angeles,18,NA,95,608,568,12,40,Yes,Yes,Yes,Yes,55,23,NA,8,NA,NA,27,90,33,27,22,14,4,2.309999942779541,81,23,1344,612
19645191995661,H,South El Monte ,South El Monte High,1334,El Monte Union High,204,Los Angeles,18,NA,97,527,470,17,57,Yes,Yes,Yes,Yes,74,38,NA,11,NA,NA,28,90,59,21,14,5,1,1.6799999475479126,83,22,983,405
19645351932763,H,El Segundo High,El Segundo High,1335,El Segundo Unified,207,Los Angeles,18,NA,99,787,775,1,12,Yes,Yes,Yes,Yes,9,6,NA,11,NA,NA,25,95,4,16,31,35,14,3.390000104904175,91,13,731,517
19645356013429,E,Center Street E,Center Street Elementary,1336,El Segundo Unified,207,Los Angeles,18,NA,99,849,841,NA,8,Yes,Yes,Yes,Yes,11,5,NA,11,19,29,NA,86,1,10,31,34,23,3.6700000762939453,94,6,834,719
19645356013452,M,El Segundo Midd,El Segundo Middle,1337,El Segundo Unified,207,Los Angeles,18,NA,99,826,780,1,46,Yes,Yes,Yes,Yes,13,7,NA,10,NA,29,29,96,3,12,29,35,21,3.609999895095825,96,4,618,500
19645506013502,E,Williams (Dan T,Williams (Dan T.) Elementary,1338,Garvey Elementary,260,Los Angeles,18,NA,100,689,605,10,84,Yes,Yes,Yes,Yes,93,55,NA,15,18,31,NA,93,37,32,19,9,3,2.069999933242798,76,24,293,241
19645506013510,E,Dewey Avenue El,Dewey Avenue Elementary,1339,Garvey Elementary,260,Los Angeles,18,NA,99,677,702,5,-25,No,No,No,No,86,44,NA,14,19,33,NA,83,32,23,23,19,3,2.359999895095825,84,16,219,185
19645506013528,E,Rice (Eldridge),Rice (Eldridge) Elementary,1340,Garvey Elementary,260,Los Angeles,18,NA,99,618,593,10,25,Yes,Yes,Yes,Yes,86,51,NA,16,19,33,NA,89,35,27,20,13,5,2.259999990463257,71,29,516,458
19645506013536,E,Sanchez (George,Sanchez (George I.) Elementary,1341,Garvey Elementary,260,Los Angeles,18,NA,99,671,587,11,84,Yes,Yes,Yes,Yes,90,69,NA,10,20,36,NA,94,38,31,18,11,2,2.0999999046325684,92,8,344,309
19645506013544,E,Willard (France,Willard (Frances E.) Elementary,1342,Garvey Elementary,260,Los Angeles,18,NA,99,630,584,11,46,Yes,Yes,Yes,Yes,90,57,NA,16,20,29,NA,86,34,29,18,13,6,2.2799999713897705,69,31,426,349
19645506013551,E,Hillcrest Eleme,Hillcrest Elementary,1343,Garvey Elementary,260,Los Angeles,18,NA,99,740,722,4,18,Yes,Yes,Yes,Yes,62,21,NA,12,19,34,NA,93,11,27,29,22,11,2.950000047683716,81,22,398,336
19645506013569,E,Marshall(John) ,Marshall(John) Elementary,1344,Garvey Elementary,260,Los Angeles,18,NA,99,633,631,8,2,No,No,No,No,93,63,NA,13,20,36,NA,87,36,34,15,9,6,2.1500000953674316,82,18,238,215
19645506013577,E,Duff (Margaret),Duff (Margaret) Elementary,1345,Garvey Elementary,260,Los Angeles,18,NA,100,581,544,13,37,Yes,Yes,Yes,Yes,93,40,NA,17,19,33,NA,96,38,33,16,9,4,2.069999933242798,61,30,296,254
19645506013585,E,Monterey Vista ,Monterey Vista Elementary,1346,Garvey Elementary,260,Los Angeles,18,NA,100,696,645,8,51,Yes,Yes,Yes,Yes,85,41,NA,17,20,32,NA,93,29,30,18,16,7,2.4200000762939453,65,35,368,314
19645506013593,E,Emerson (Ralph ,Emerson (Ralph Waldo) Elementary,1347,Garvey Elementary,260,Los Angeles,18,NA,99,701,668,7,33,Yes,Yes,Yes,Yes,90,36,NA,12,21,35,NA,96,31,33,19,14,4,2.259999990463257,80,17,475,418
19645506013601,M,Garvey (Richard,Garvey (Richard) Intermediate,1348,Garvey Elementary,260,Los Angeles,18,NA,99,643,631,8,12,Yes,No,No,No,83,31,NA,9,NA,NA,30,91,32,33,17,14,4,2.2699999809265137,83,15,907,746
19645506101497,M,Temple (Roger W,Temple (Roger W.) Intermediate,1349,Garvey Elementary,260,Los Angeles,18,NA,99,575,584,11,-9,No,No,No,No,87,51,NA,8,NA,NA,29,89,41,32,11,11,4,2.049999952316284,68,32,472,412
19645506105886,E,Bitely (Arlene),Bitely (Arlene) Elem.,1350,Garvey Elementary,260,Los Angeles,18,NA,99,577,596,10,-19,No,No,No,No,87,54,NA,13,19,32,NA,82,37,29,20,10,4,2.1600000858306885,59,34,425,368
19645681932144,H,Crescenta Valle,Crescenta Valley Senior High,1351,Glendale Unified,266,Los Angeles,18,NA,99,758,759,2,-1,No,No,No,No,10,12,NA,10,NA,NA,28,91,3,11,28,32,27,3.700000047683716,89,11,1678,1563
19645681933530,H,Glendale Senior,Glendale Senior High,1352,Glendale Unified,266,Los Angeles,18,NA,99,603,585,11,18,Yes,No,No,No,53,39,NA,13,NA,NA,29,86,11,20,26,29,14,3.140000104904175,80,16,2554,2298
19645681934082,H,Hoover (Herbert,Hoover (Herbert) Senior High,1353,Glendale Unified,266,Los Angeles,18,NA,100,614,606,10,8,No,No,No,No,53,37,NA,10,NA,NA,29,73,14,19,29,23,15,3.059999942779541,83,16,1927,1767
19645681996131,H,Clark (Anderson,Clark (Anderson W.) Magnet High,1354,Glendale Unified,266,Los Angeles,18,NA,99,786,771,1,15,Yes,Yes,Yes,Yes,33,16,NA,5,NA,NA,28,95,2,9,22,35,32,3.859999895095825,89,8,747,727
19645686013619,E,Balboa Elementa,Balboa Elementary,1355,Glendale Unified,266,Los Angeles,18,NA,100,707,638,8,69,Yes,Yes,Yes,Yes,56,59,No,13,19,31,NA,100,17,30,23,22,8,2.75,89,11,555,512
19645686013627,E,Cerritos Elemen,Cerritos Elementary,1356,Glendale Unified,266,Los Angeles,18,NA,100,594,558,12,36,Yes,Yes,Yes,Yes,78,75,NA,15,19,33,NA,99,31,25,27,14,3,2.3499999046325684,86,14,371,344
19645686013635,E,Columbus Elemen,Columbus Elementary,1357,Glendale Unified,266,Los Angeles,18,NA,99,650,648,8,2,No,No,No,No,70,64,No,12,19,30,NA,98,8,27,29,22,14,3.0899999141693115,90,10,763,706
19645686013643,E,Dunsmore Elemen,Dunsmore Elementary,1358,Glendale Unified,266,Los Angeles,18,NA,100,856,854,NA,2,Yes,Yes,Yes,Yes,4,19,NA,17,18,30,NA,88,0,10,25,40,24,3.7899999618530273,96,4,365,326
19645686013650,E,Edison (Thomas),Edison (Thomas) Elementary,1359,Glendale Unified,266,Los Angeles,18,NA,100,612,563,12,49,Yes,Yes,Yes,Yes,79,64,No,8,19,29,NA,100,23,30,21,16,10,2.5799999237060547,83,17,650,614
19645686013676,E,Franklin (Benja,Franklin (Benjamin) Elementary,1360,Glendale Unified,266,Los Angeles,18,NA,100,676,616,9,60,Yes,Yes,Yes,Yes,76,51,NA,9,18,29,NA,88,24,28,29,10,9,2.509999990463257,67,33,271,261
19645686013684,E,Fremont (John C,Fremont (John C.) Elementary,1361,Glendale Unified,266,Los Angeles,18,NA,100,804,769,2,35,Yes,Yes,Yes,Yes,15,18,NA,19,19,31,NA,100,3,14,29,32,23,3.5899999141693115,97,3,479,438
19645686013692,E,Glenoaks Elemen,Glenoaks Elementary,1362,Glendale Unified,266,Los Angeles,18,NA,100,829,794,1,35,Yes,Yes,Yes,Yes,25,22,NA,13,18,31,NA,100,3,8,26,36,27,3.759999990463257,86,14,498,456
19645686013718,E,Jefferson (Thom,Jefferson (Thomas) Elementary,1363,Glendale Unified,266,Los Angeles,18,NA,99,635,597,10,38,Yes,Yes,Yes,Yes,77,72,No,16,19,30,NA,100,15,40,19,17,9,2.6500000953674316,89,11,559,482
19645686013726,E,Keppel (Mark) E,Keppel (Mark) Elementary,1364,Glendale Unified,266,Los Angeles,18,NA,100,781,745,3,36,Yes,Yes,Yes,Yes,37,40,No,16,19,31,NA,99,4,17,30,28,21,3.4600000381469727,86,14,859,793
19645686013734,E,La Crescenta El,La Crescenta Elementary,1365,Glendale Unified,266,Los Angeles,18,NA,100,803,770,2,33,Yes,Yes,Yes,Yes,15,24,NA,16,17,32,NA,100,3,12,33,31,21,3.559999942779541,88,12,405,361
19645686013767,E,Mann (Horace) E,Mann (Horace) Elementary,1366,Glendale Unified,266,Los Angeles,18,NA,100,607,568,12,39,Yes,Yes,Yes,Yes,81,74,No,12,19,31,NA,99,22,46,5,26,1,2.390000104904175,63,34,1035,971
19645686013775,E,Marshall (John),Marshall (John) Elementary,1367,Glendale Unified,266,Los Angeles,18,NA,100,649,607,10,42,Yes,Yes,Yes,Yes,76,63,No,31,20,29,NA,98,12,44,16,22,7,2.6700000762939453,85,15,636,581
19645686013783,E,Monte Vista Ele,Monte Vista Elementary,1368,Glendale Unified,266,Los Angeles,18,NA,100,856,834,NA,22,Yes,Yes,Yes,Yes,6,12,NA,95,20,28,NA,99,1,9,25,39,26,3.809999942779541,96,4,424,418
19645686013809,E,Mountain Avenue,Mountain Avenue Elementary,1369,Glendale Unified,266,Los Angeles,18,NA,100,868,838,NA,30,Yes,Yes,Yes,Yes,6,7,NA,14,19,34,NA,96,0,15,21,36,27,3.740000009536743,96,4,434,400
19645686013817,E,Muir (John) Ele,Muir (John) Elementary,1370,Glendale Unified,266,Los Angeles,18,NA,100,638,608,10,30,Yes,Yes,Yes,Yes,77,72,No,16,19,31,NA,91,12,23,25,21,19,3.109999895095825,74,26,990,884
19645686013825,E,Valley View Ele,Valley View Elementary,1371,Glendale Unified,266,Los Angeles,18,NA,100,868,835,NA,33,Yes,Yes,Yes,Yes,8,22,NA,12,18,31,NA,95,1,12,33,32,22,3.619999885559082,95,5,329,304
19645686013833,E,Verdugo Woodlan,Verdugo Woodlands Elementary,1372,Glendale Unified,266,Los Angeles,18,NA,100,813,797,1,16,Yes,Yes,Yes,Yes,21,36,NA,17,19,30,NA,100,2,13,29,29,27,3.6600000858306885,82,18,434,384
19645686013841,E,White (R. D.) E,White (R. D.) Elementary,1373,Glendale Unified,266,Los Angeles,18,NA,100,705,673,6,32,Yes,Yes,Yes,Yes,49,50,No,15,19,29,NA,96,8,17,30,22,24,3.380000114440918,93,7,628,578
19645686057715,M,Roosevelt (Theo,Roosevelt (Theodore) Middle,1374,Glendale Unified,266,Los Angeles,18,NA,100,593,556,12,37,Yes,Yes,Yes,Yes,74,50,NA,12,NA,NA,29,99,20,26,27,23,5,2.6700000762939453,76,24,1041,957
19645686057723,M,Toll (Eleanor J,Toll (Eleanor J.) Middle    H,1375,Glendale Unified,266,Los Angeles,18,NA,100,707,663,7,44,Yes,Yes,Yes,Yes,60,37,NA,12,NA,NA,30,85,8,22,26,26,18,3.2300000190734863,88,12,1315,1178
19645686061303,M,Rosemont Middle,Rosemont Middle,1376,Glendale Unified,266,Los Angeles,18,NA,99,803,786,1,17,Yes,No,No,No,12,8,NA,7,NA,NA,30,86,3,10,27,33,27,3.7200000286102295,91,9,1311,1224
19645686061311,M,Wilson (Woodrow,Wilson (Woodrow) Middle,1377,Glendale Unified,266,Los Angeles,18,NA,100,717,723,4,-6,No,No,No,No,49,32,NA,13,NA,NA,29,87,5,18,28,26,23,3.430000066757202,94,6,1241,1126
19645761933597,H,Glendora High,Glendora High,1378,Glendora Unified,267,Los Angeles,18,NA,98,743,735,3,8,Yes,Yes,Yes,Yes,7,2,NA,6,NA,NA,30,93,2,11,26,42,20,3.6700000762939453,83,26,1789,1613
19645766013866,E,Cullen Elementa,Cullen Elementary,1379,Glendora Unified,267,Los Angeles,18,NA,99,806,768,2,38,Yes,Yes,Yes,Yes,10,2,NA,9,19,27,NA,89,1,15,32,35,17,3.5199999809265137,87,13,410,362
19645766013882,E,La Fetra Elemen,La Fetra Elementary,1380,Glendora Unified,267,Los Angeles,18,NA,99,735,712,4,23,Yes,Yes,Yes,Yes,11,2,NA,13,19,29,NA,84,4,16,34,30,16,3.369999885559082,85,13,495,439
19645766013908,E,Sellers Element,Sellers Elementary,1381,Glendora Unified,267,Los Angeles,18,NA,100,812,787,1,25,Yes,Yes,Yes,Yes,3,3,NA,10,19,31,NA,92,1,4,29,38,29,3.9000000953674316,90,16,439,394
19645766013916,E,Stanton Element,Stanton Elementary,1382,Glendora Unified,267,Los Angeles,18,NA,99,741,704,5,37,Yes,No,No,No,24,7,NA,14,19,30,NA,96,6,21,39,26,8,3.0799999237060547,90,10,382,330
19645766013924,E,Sutherland Elem,Sutherland Elementary,1383,Glendora Unified,267,Los Angeles,18,NA,100,808,768,2,40,Yes,Yes,Yes,Yes,12,2,NA,10,18,34,NA,83,2,8,34,31,25,3.690000057220459,90,7,375,353
19645766013932,E,Williams Elemen,Williams Elementary,1384,Glendora Unified,267,Los Angeles,18,NA,99,737,725,4,12,Yes,No,No,No,21,3,NA,18,19,32,NA,75,7,12,37,27,17,3.3399999141693115,96,8,297,249
19645766057731,M,Goddard Middle,Goddard Middle,1385,Glendora Unified,267,Los Angeles,18,NA,98,800,779,1,21,Yes,Yes,Yes,Yes,7,1,NA,8,NA,28,28,88,2,8,28,40,23,3.75,72,30,993,925
19645766061329,M,Sandburg Middle,Sandburg Middle,1386,Glendora Unified,267,Los Angeles,18,NA,99,757,729,4,28,Yes,Yes,Yes,Yes,15,4,NA,7,NA,29,30,95,4,14,36,33,13,3.380000114440918,79,18,847,759
19645926013957,E,Eucalyptus Elem,Eucalyptus Elementary,1387,Hawthorne Elementary,293,Los Angeles,18,NA,99,545,509,15,36,Yes,Yes,Yes,Yes,91,53,No,18,19,19,NA,79,23,43,27,5,2,2.190000057220459,70,31,769,644
19645926013965,M,Hawthorne Middl,Hawthorne Middle,1388,Hawthorne Elementary,293,Los Angeles,18,NA,100,582,556,12,26,Yes,No,No,No,79,35,NA,20,NA,28,25,99,25,36,30,9,1,2.259999990463257,51,44,848,659
19645926013973,E,Jefferson Eleme,Jefferson Elementary,1389,Hawthorne Elementary,293,Los Angeles,18,NA,100,581,568,12,13,Yes,No,No,No,84,32,No,20,19,29,NA,86,22,36,33,7,2,2.299999952316284,68,30,474,396
19645926013981,E,Ramona Elementa,Ramona Elementary,1390,Hawthorne Elementary,293,Los Angeles,18,NA,98,606,643,8,-37,No,No,No,No,69,38,No,20,19,31,NA,80,13,25,35,22,5,2.809999942779541,71,18,489,392
19645926013999,E,Washington Elem,Washington Elementary,1391,Hawthorne Elementary,293,Los Angeles,18,NA,97,515,486,16,29,Yes,Yes,Yes,Yes,90,41,No,21,19,29,NA,76,24,29,39,6,1,2.319999933242798,67,31,463,353
19645926014005,E,Williams Elemen,Williams Elementary,1392,Hawthorne Elementary,293,Los Angeles,18,NA,98,547,506,15,41,Yes,Yes,Yes,Yes,90,36,No,30,NA,21,NA,84,28,39,22,9,2,2.180000066757202,54,46,679,454
19645926014013,E,York Elementary,York Elementary,1393,Hawthorne Elementary,293,Los Angeles,18,NA,98,548,485,16,63,Yes,Yes,Yes,Yes,90,58,No,22,19,27,NA,90,30,33,28,6,2,2.1700000762939453,47,49,574,447
19645926014021,M,Yukon Middle,Yukon Middle,1394,Hawthorne Elementary,293,Los Angeles,18,NA,98,513,464,17,49,Yes,Yes,Yes,Yes,86,30,NA,74,NA,27,27,81,33,34,19,13,1,2.140000104904175,41,61,910,667
19645926014039,E,Zela Davis Elem,Zela Davis Elementary,1395,Hawthorne Elementary,293,Los Angeles,18,NA,99,575,556,12,19,Yes,No,No,No,91,44,No,24,19,NA,NA,80,30,32,30,6,2,2.190000057220459,40,62,787,588
19645926115265,M,Prairie Vista M,Prairie Vista Middle,1396,Hawthorne Elementary,293,Los Angeles,18,NA,98,525,487,16,38,Yes,Yes,Yes,Yes,87,41,NA,19,NA,28,29,87,25,32,31,10,2,2.319999933242798,64,31,864,647
19646266014427,E,Hughes-Elizabet,Hughes-Elizabeth Lakes Element,1397,Hughes-Elizabeth Lakes,309,Los Angeles,18,NA,99,722,694,5,28,Yes,Yes,Yes,Yes,23,1,NA,15,18,26,22,100,5,21,43,20,10,3.0899999141693115,96,4,353,298
19646341934231,H,Inglewood High,Inglewood High,1398,Inglewood Unified,315,Los Angeles,18,NA,94,442,433,18,9,No,No,No,No,25,33,NA,6,NA,NA,29,83,37,24,18,19,2,2.25,74,26,1606,1188
19646341936046,H,Morningside Hig,Morningside High,1399,Inglewood Unified,315,Los Angeles,18,NA,94,462,449,18,13,No,No,No,No,31,18,NA,13,NA,NA,30,75,39,20,19,20,2,2.25,89,11,990,809
19646346014443,E,Worthington Ele,Worthington Elementary,1400,Inglewood Unified,315,Los Angeles,18,NA,100,572,566,12,6,No,No,No,No,94,60,No,18,19,25,NA,97,54,32,10,3,1,1.659999966621399,64,43,560,472
19646346014468,E,Freeman (Daniel,Freeman (Daniel) Elementary,1401,Inglewood Unified,315,Los Angeles,18,NA,100,728,629,9,99,Yes,Yes,Yes,Yes,61,3,NA,24,19,28,NA,88,1,31,42,23,3,2.9600000381469727,48,48,333,239
19646346014476,E,Highland Elemen,Highland Elementary,1402,Inglewood Unified,315,Los Angeles,18,NA,97,761,717,4,44,Yes,Yes,Yes,Yes,85,30,No,23,19,26,NA,79,25,33,23,16,2,2.369999885559082,36,66,654,481
19646346014492,E,Kelso (William ,Kelso (William H.) Elementary,1403,Inglewood Unified,315,Los Angeles,18,NA,98,808,824,NA,-16,Yes,No,No,No,100,27,No,10,19,28,NA,95,28,34,28,10,0,2.190000057220459,59,41,497,435
19646346014518,E,La Tijera Eleme,La Tijera Elementary,1404,Inglewood Unified,315,Los Angeles,18,NA,99,572,552,12,20,Yes,Yes,Yes,Yes,51,9,NA,39,19,28,34,34,25,23,32,17,3,2.5199999809265137,49,49,688,535
19646346014534,E,Oak Street Elem,Oak Street Elementary,1405,Inglewood Unified,315,Los Angeles,18,NA,100,672,597,10,75,Yes,Yes,Yes,Yes,79,38,No,14,19,28,NA,90,34,39,18,6,2,2.0399999618530273,62,40,548,474
19646346014542,E,Parent (Frank D,Parent (Frank D.) Elementary,1406,Inglewood Unified,315,Los Angeles,18,NA,99,683,638,8,45,Yes,Yes,Yes,Yes,20,2,NA,27,20,30,31,94,4,15,33,35,14,3.4000000953674316,69,28,539,431
19646346014559,E,Payne (Buelah) ,Payne (Buelah) Elementary,1407,Inglewood Unified,315,Los Angeles,18,NA,100,748,706,5,42,Yes,Yes,Yes,Yes,85,52,No,10,23,30,NA,85,30,47,16,7,0,2.009999990463257,51,54,531,482
19646346014575,E,Woodworth (Clyd,Woodworth (Clyde) Elementary,1408,Inglewood Unified,315,Los Angeles,18,NA,98,597,588,11,9,No,No,No,No,99,62,No,15,21,30,NA,91,40,39,17,3,0,1.840000033378601,48,54,767,648
19646346057749,M,Crozier (George,Crozier (George W.) Junior High,1409,Inglewood Unified,315,Los Angeles,18,NA,100,559,527,14,32,Yes,Yes,Yes,Yes,47,27,No,18,NA,28,29,71,38,26,17,17,2,2.190000057220459,56,50,1280,994
19646426014583,M,Almondale Middl,Almondale Middle,1410,Keppel Union Elementary,332,Los Angeles,18,NA,99,596,606,10,-10,No,No,No,No,50,5,No,7,NA,NA,28,78,16,26,29,23,6,2.759999990463257,70,35,512,422
19646426014591,E,Alpine Elementa,Alpine Elementary,1411,Keppel Union Elementary,332,Los Angeles,18,NA,98,599,618,9,-19,No,No,No,No,63,13,No,16,17,29,NA,83,25,34,27,11,3,2.319999933242798,84,12,362,299
19646426014609,E,Antelope Elemen,Antelope Elementary,1412,Keppel Union Elementary,332,Los Angeles,18,NA,100,517,499,15,18,Yes,No,No,No,76,29,NA,14,19,26,NA,99,31,45,19,6,0,1.9900000095367432,55,45,173,144
19646426105969,E,Lake Los Angele,Lake Los Angeles Elementary,1413,Keppel Union Elementary,332,Los Angeles,18,NA,100,599,567,12,32,Yes,No,No,No,64,4,NA,18,18,29,26,43,17,23,34,19,6,2.75,92,4,385,330
19646591934611,H,La Canada High,La Canada High,1414,La Canada Unified,348,Los Angeles,18,NA,97,868,858,NA,10,Yes,Yes,Yes,Yes,0,2,NA,4,NA,NA,31,93,0,2,6,36,55,4.440000057220459,93,7,1692,1552
19646596014633,E,La Canada Eleme,La Canada Elementary,1415,La Canada Unified,348,Los Angeles,18,NA,100,905,883,NA,22,Yes,Yes,Yes,Yes,1,3,NA,3,19,29,NA,97,0,1,8,30,61,4.489999771118164,92,8,539,522
19646596014658,E,Palm Crest Elem,Palm Crest Elementary,1416,La Canada Unified,348,Los Angeles,18,NA,99,901,879,NA,22,Yes,Yes,Yes,Yes,1,4,NA,12,19,29,NA,93,0,1,6,34,59,4.489999771118164,100,0,542,474
19646596014666,E,Paradise Canyon,Paradise Canyon Elementary,1417,La Canada Unified,348,Los Angeles,18,NA,99,893,869,NA,24,Yes,Yes,Yes,Yes,2,5,NA,4,19,30,NA,96,0,2,4,33,61,4.539999961853027,100,0,600,571
19646676014674,E,Desert View Ele,Desert View Elementary,1418,Lancaster Elementary,365,Los Angeles,18,NA,99,566,521,14,45,Yes,Yes,Yes,Yes,67,8,No,26,19,29,NA,97,27,28,28,9,7,2.390000104904175,84,18,685,543
19646676014682,E,El Dorado Eleme,El Dorado Elementary,1419,Lancaster Elementary,365,Los Angeles,18,NA,99,655,598,10,57,Yes,Yes,Yes,Yes,70,9,NA,21,20,30,NA,92,19,32,35,13,1,2.4600000381469727,94,6,447,373
19646676014690,E,Joshua Elementa,Joshua Elementary,1420,Lancaster Elementary,365,Los Angeles,18,NA,99,563,519,14,44,Yes,Yes,Yes,Yes,56,7,No,29,19,31,NA,98,13,48,28,8,3,2.4100000858306885,92,8,630,492
19646676014708,E,Linda Verde Ele,Linda Verde Elementary,1421,Lancaster Elementary,365,Los Angeles,18,NA,95,486,435,18,51,Yes,Yes,Yes,Yes,87,11,No,30,18,28,NA,91,50,26,18,4,2,1.809999942779541,84,16,603,445
19646676014716,E,Mariposa Elemen,Mariposa Elementary,1422,Lancaster Elementary,365,Los Angeles,18,NA,99,552,497,15,55,Yes,Yes,Yes,Yes,75,7,NA,26,20,29,NA,82,35,31,20,9,4,2.1600000858306885,91,15,411,329
19646676014724,E,Monte Vista Ele,Monte Vista Elementary,1423,Lancaster Elementary,365,Los Angeles,18,NA,99,657,634,8,23,Yes,No,No,No,44,8,No,22,19,28,NA,95,9,27,40,16,7,2.8499999046325684,93,9,690,547
19646676014732,M,Park View Inter,Park View Intermediate,1424,Lancaster Elementary,365,Los Angeles,18,NA,100,598,575,11,23,Yes,Yes,Yes,Yes,45,11,No,13,NA,NA,30,85,11,22,40,19,9,2.940000057220459,88,11,1357,1125
19646676014740,M,Piute Intermedi,Piute Intermediate,1425,Lancaster Elementary,365,Los Angeles,18,NA,99,520,522,14,-2,No,No,No,No,68,10,No,24,NA,24,27,82,21,30,32,14,3,2.490000009536743,82,26,1078,868
19646676014757,E,Sierra Elementa,Sierra Elementary,1426,Lancaster Elementary,365,Los Angeles,18,NA,98,601,543,13,58,Yes,Yes,Yes,Yes,65,10,No,28,18,28,NA,97,17,31,37,8,6,2.569999933242798,80,22,612,460
19646676014765,E,Sunnydale Eleme,Sunnydale Elementary,1427,Lancaster Elementary,365,Los Angeles,18,NA,98,615,578,11,37,Yes,Yes,Yes,Yes,65,9,No,29,19,28,NA,90,22,28,31,13,6,2.5199999809265137,83,17,653,510
19646676108393,E,Cory (Nancy) El,Cory (Nancy) Elementary,1428,Lancaster Elementary,365,Los Angeles,18,NA,99,651,614,9,37,Yes,Yes,Yes,Yes,39,8,No,14,18,30,NA,90,11,18,35,20,16,3.0999999046325684,94,6,725,650
19646676108401,E,Lincoln Element,Lincoln Elementary,1429,Lancaster Elementary,365,Los Angeles,18,NA,99,643,608,10,35,Yes,Yes,Yes,Yes,47,9,No,19,19,34,NA,93,11,31,36,17,5,2.7300000190734863,86,14,716,600
19646676108419,E,Northrop (Jack),Northrop (Jack) Elementary,1430,Lancaster Elementary,365,Los Angeles,18,NA,99,642,601,10,41,Yes,Yes,Yes,Yes,52,7,No,28,19,29,NA,95,13,39,29,14,5,2.5899999141693115,87,16,487,394
19646676109276,E,Lancaster Eleme,Lancaster Elementary,1431,Lancaster Elementary,365,Los Angeles,18,NA,99,647,611,9,36,Yes,Yes,Yes,Yes,37,8,No,23,19,30,NA,94,8,20,41,25,7,3.0299999713897705,90,10,443,343
19646676113294,M,New Vista Middl,New Vista Middle,1432,Lancaster Elementary,365,Los Angeles,18,NA,98,664,645,8,19,Yes,Yes,Yes,Yes,44,9,No,17,NA,30,28,96,11,24,40,18,7,2.869999885559082,76,24,1040,825
19646831930080,H,Agoura High,Agoura High,1433,Las Virgenes Unified,368,Los Angeles,18,NA,99,852,825,NA,27,Yes,Yes,Yes,Yes,1,2,NA,5,NA,NA,28,1,0,0,9,55,36,4.269999980926514,92,5,1526,1271
19646831931781,H,Calabasas High,Calabasas High,1434,Las Virgenes Unified,368,Los Angeles,18,NA,97,835,818,NA,17,Yes,Yes,Yes,Yes,2,3,NA,7,NA,NA,29,1,0,7,0,73,20,4.070000171661377,94,7,1254,1076
19646836014781,M,Wright (Arthur ,Wright (Arthur E.) Middle,1435,Las Virgenes Unified,368,Los Angeles,18,NA,99,846,846,NA,0,Yes,Yes,Yes,No,3,3,NA,8,NA,34,35,2,9,15,3,45,27,3.6700000762939453,94,6,1662,1486
19646836014799,E,Chaparral Eleme,Chaparral Elementary,1436,Las Virgenes Unified,368,Los Angeles,18,NA,99,856,826,NA,30,Yes,Yes,Yes,Yes,3,9,NA,5,20,31,NA,3,0,9,27,36,27,3.819999933242798,100,4,389,364
19646836014807,E,Round Meadow El,Round Meadow Elementary,1437,Las Virgenes Unified,368,Los Angeles,18,NA,99,878,854,NA,24,Yes,Yes,Yes,Yes,1,3,NA,5,21,29,NA,1,0,25,0,25,50,4,97,3,489,457
19646836014815,E,White Oak Eleme,White Oak Elementary,1438,Las Virgenes Unified,368,Los Angeles,18,NA,98,898,872,NA,26,Yes,Yes,Yes,Yes,1,1,NA,9,20,29,NA,2,0,0,22,44,33,4.110000133514404,97,0,441,387
19646836014823,E,Yerba Buena Ele,Yerba Buena Elementary,1439,Las Virgenes Unified,368,Los Angeles,18,NA,100,854,832,NA,22,Yes,Yes,Yes,Yes,1,3,NA,11,19,31,NA,5,0,13,9,52,26,3.9100000858306885,97,3,444,386
19646836066765,M,Lindero Canyon ,Lindero Canyon Middle,1440,Las Virgenes Unified,368,Los Angeles,18,NA,100,869,857,NA,12,Yes,Yes,Yes,Yes,2,1,NA,5,NA,35,32,2,5,0,10,60,25,4,92,8,1265,1153
19646836085658,E,Lupin Hill Elem,Lupin Hill Elementary,1441,Las Virgenes Unified,368,Los Angeles,18,NA,100,825,782,1,43,Yes,Yes,Yes,Yes,6,8,NA,14,19,29,NA,5,10,23,13,33,20,3.299999952316284,91,2,550,468
19646836093025,E,Sumac Elementar,Sumac Elementary,1442,Las Virgenes Unified,368,Los Angeles,18,NA,99,820,819,NA,1,Yes,Yes,Yes,Yes,4,7,NA,11,20,29,NA,6,66,3,10,14,7,1.9299999475479126,97,11,517,403
19646836099030,E,Willow Elementa,Willow Elementary,1443,Las Virgenes Unified,368,Los Angeles,18,NA,100,855,833,NA,22,Yes,Yes,Yes,Yes,1,2,NA,8,19,30,NA,1,0,0,20,60,20,4,94,3,477,427
19646836110563,E,Bay Laurel Elem,Bay Laurel Elementary,1444,Las Virgenes Unified,368,Los Angeles,18,NA,100,869,821,NA,48,Yes,Yes,Yes,Yes,1,3,NA,6,19,29,NA,4,0,6,29,59,6,3.6500000953674316,94,6,450,420
